website,logo_url
stanbicbank.co.zw,
astrazeneca.ua,
autosecuritas-ct-seysses.fr,https://autosecuritas-ct-seysses.fr/public/img/member-site-v2/logo/autosecuritas-logo.svg
ovb.ro,
mazda-autohaus-hellwig-hoyerswerda.de,https://www.assets.mazda-autohaus.de/assets/img/favicons/favicon-96x96.png
toyota-buchreiter-eisenstadt.at,
ebay.cn,https://www.ebay.cn/newcms/style/index/logo.png
greatplacetowork.com.bo,
wurth-international.com,https://www.wurth-international.com/system/layout_wl2bootstrap/bootstrap_system_images/svg_logos/logo_wuerth_svg.svg
plameco-hannover.de,https://www.plameco-hannover.de/domains/plameco-hannover.de/media/DE_Plameco_Logo.png
kia-moeller-wunstorf.de,https://www.kia-moeller-wunstorf.de/etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/logo_kia_white-rbr.png
ccusa.co.nz,https://ccusa.co.nz/wp-content/uploads/2023/02/Logo_CCUSA_150-120.jpg
tupperware.at,
zalando.cz,
crocs.com.uy,https://f.fcdn.app/assets/commerce/www.crocs.com.uy/8a07_26fe/public/web/img/logo.svg
ymcasteuben.org,
engie.co.uk,https://www.engie.co.uk/wp-content/themes/engie/assets/images/dist/engie-logo-blue.svg
ibc-solar.jp,https://www.ibc-solar.jp/config/Resources/images/ibclogo.svg
lidl.com.cy,https://www.lidl.com.cy/static/assets/lidl-shop-cyprus-271782.svg
nobleprog.mx,https://www.nobleprog.mx/sites/hitrahr/files/client_logos//ebay.png
freseniusmedicalcare.ca,https://freseniusmedicalcare.ca/assets/images/logo.png
synlab.com.tr,https://www.synlab.com.tr/images/header-logo.svg
avis.cr,https://avis.cr/dist/images/logo.svg
ebayglobalshipping.com,https://www.ebayglobalshipping.com:443/themes/custom/custom_barrio/app/images/logo-1.svg
cafelasmargaritas.es,
affidea.ba,https://affidea.ba/wp-content/themes/affidea/assets/img/affidea-logo.svg
bakertilly.lu,https://www.bakertilly.lu/assets/images/logo.svg
spitex-wasseramt.ch,https://www.spitex-wasseramt.ch/img/spitex2014/ch.spitex-wasseramt-2015/logo_de-hc2FB36001.svg
aamcoanaheim.net,https://www.aamcoanaheim.net/images/logo.png
deheus.com.vn,https://www.deheus.com.vn/siteassets/icons/dhgenetics-logo_revised-version-1-1.png?width=36
veolia.com.ru,https://www.veolia.com.ru/sites/g/files/dvc2936/files/styles/logo_mobile_base/public/themes/custom/veo_site/src/assets/images/logo.png?itok=QnV2LDHS
julis-sh.de,https://julis-sh.de/wp-content/uploads/2022/06/Logo-Junge-Liberale-768x588.png
aamcoconyersga.com,https://www.aamcoconyersga.com/images/logo.png
renault-tortosa.es,https://renault-tortosa.es/img_src/renault-logo-2023.svg
oil-testing.de,https://oil-testing.de/wp-content/uploads/2018/12/Logo-BV_update.png
baywa-re.es,https://www.baywa-re.es/typo3conf/ext/gg_base/Resources/Public/country/dist/img/logo.png
menschenfuermenschen.at,https://www.menschenfuermenschen.at/upload/image/MfM-Logo_Weiss_Horizontal_RGB.svg
europa-union-sachsen-anhalt.de,https://www.europa-union-sachsen-anhalt.de/fileadmin/user_upload/logo_europatermine.de.png
wurthsaudi.com,https://wurthsaudi.com/assets/img/logomob.png
pirtek.be,https://www.pirtek.be/wp-content/uploads/2021/12/logos-scaled-BE_1536x111.jpg
aamcoseguin.com,https://www.aamcoseguin.com/wp-content/uploads/2018/09/logo.png
bakertilly.es,https://www.bakertilly.es/assets/images/logo.svg
mazda-autohaus-kaschmieder-waren.de,https://www.assets.mazda-autohaus.de/assets/img/favicons/favicon-96x96.png
zkteco.vn,https://www.zkteco.vn/public/static/modules/cms/images/logo.png
allianz.nl,https://www.allianz.nl/content/dam/onemarketing/system/allianz-logo.svg
xella-colloquium.berlin,https://mens-toitoitoi.clinic/logobugistoto.png
unicharm.com.br,
berlitz-augsburg.de,https://www.berlitz-augsburg.de/static/47f51116ad09977af6a28dc8fca5dfc6/499f6/telc-logo.jpg
intertongn.es,https://intertongn.es/wp-content/uploads/2019/07/cropped-logo-interton-1-1-300x107.png
bmw-motorrad-euromotos-lyon.fr,https://bmw-motorrad-euromotos-lyon.fr/img/bmw-motorrad-6eme-avenue-bourgoin-concessionnaire-logo-1431434954.jpg
rsmpoland.pl,https://www.rsmpoland.pl/themes/custom/rsm_poland/logo%402x.webp
esseskincare.sg,https://esseskincare.sg/wp-content/uploads/2024/09/Esse_logo_only_white_2020_transparent_optimized.png
secureparkinghi.com,https://www.secureparkinghi.com/wp-content/uploads/2017/12/SecureParkingLogo.png
trinkgutlippstadt.de,https://trinkgutlippstadt.de/wp-content/uploads/revslider/export2/logo2-1.png
bauder.lt,https://www.bauder.lt/fileadmin/templates/facelift_2014/images/logo_en.svg
savethechildren.ca,https://www.savethechildren.ca/wp-content/uploads/2023/11/CH1822791_Georgette-smiles-and-plays-with-her-grandson-Dhelo.jpg
mazda-autohaus-lackmann-sendenhorst.de,https://www.assets.mazda-autohaus.de/assets/img/favicons/favicon-96x96.png
avoncameroun.com,
menicon.de,https://www.menicon.de/hs-fs/hubfs/menicon%20logo.png?width=161&height=30&name=menicon%20logo.png
linde-gas.fi,
mateco.nl,https://mateco.nl/wp-content/uploads/2025/01/mateco-logo-1-130x40.jpg
svnefird.com,https://svnefird.com/wp-content/uploads/2024/12/SVN-Bold-Logo.webp
svntrinity.com,https://svntrinity.com/wp-content/uploads/2019/06/SVNTrinityLogo-InvetedAsset-1.png
orient-food.sk,https://cdn.myshoptet.com/usr/www.orient-food.sk/user/logos/sk_logo_2.png
noiseassessments.org,
equans.hu,https://equans.hu/wp-content/uploads/equans-magyarorszag-logo.jpg
williamblairfunds.com,https://www.williamblairfunds.com:443/SiteFiles/live/images/logos/wmb_logo.png
mazdaofamarillo.com,
mazda-autohaus-roessel-birkenau.de,https://www.assets.mazda-autohaus.de/assets/img/favicons/favicon-96x96.png
aamcodelran.com,https://www.aamcodelran.com/images/logo.png
mazda-poznan-voyager.pl,https://uploads.mazdalh.eu/uploads/sites/121674/master-content-logonormal.png?lm=63040f445170d13cd9befb1d4652d492
kapanfastigheter.se,https://kapanfastigheter.se/wp-content/uploads/2023/06/cropped-favicon.png
mazda-autohaus-wassing-ahaus-wuellen.de,https://www.assets.mazda-autohaus.de/assets/img/favicons/favicon-96x96.png
rheine.schule,https://rheine.schule/wp-content/uploads/2017/07/cropped-Logo-Stadt-Rheine-Leben-an-der-Ems-in-Farbe-2.jpg
ford.pl.ua,https://ford.pl.ua/build/website/img/ford_logo.e264b95b.svg
bioderma.co.za,https://www.bioderma.co.za/themes/custom/bioderma_theme/favicon.ico
linexps.com,https://images.squarespace-cdn.com/content/v1/5fd92ad7ab943321efbb1f5f/1608068289856-1JKEDAF2LO5YETOD4S2P/logo_linex+%281%29.png?format=1500w
kalyanmachines.com,
kia-suedmobile-radolfzell.de,https://www.kia-suedmobile-radolfzell.de/etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/logo_kia_white-rbr.png
worldvision.ca,
linde-gas.at,https://www.linde.at/sfsites/c/cms/delivery/media/MCMSF4UA7ZSBCELOPJYUZJUXDOU4?width=32&height=32
renaultsanzhispano.es,https://renaultsanzhispano.es/wp-content/uploads/2024/05/Renault_2021_white.svg
avia.ch,https://avia.ch/wp-content/uploads/2025/02/logo-menue.png
cdviberica.com,https://www.cdviberica.com/wp-content/uploads/sites/11/2021/10/logo.svg
adecco.cl,https://www.adecco.com/-/jssmedia/project/adecco/global/favicon.png
wurth.co,https://www.wurth.co/favicon.png
nestle.com.vn,
daikin.ge,
ibc-solar.pl,https://www.ibc-solar.pl/config/Resources/images/ibclogo.svg
toyotanatas.com.tr,https://www.toyotanatas.com.tr/Assets/img/logo.png
mazda-autohaus-henseler-schwedt.de,https://www.assets.mazda-autohaus.de/assets/img/favicons/favicon-96x96.png
aamcobloomfield.com,https://www.aamcobloomfield.com/images/logo.png
zalando.dk,
mazda.de,https://www.mazda.de/favicon-48x48.png
crocs.co.id,
daikinkuwait.com,https://www.daikinkuwait.com/etc.clientlibs/daikin/clientlibs/clientlib-internet-site/resources/images/logo/daikin-logo.svg
bbraun.rs,https://www.bbraun.rs/content/dam/b-braun/master/website-6/en/00_home-and-miscellaneous/logo/bbraun-logo-full.svg
daikin.com.sg,
aamcosalemor.com,https://www.aamcosalemor.com/images/logo.png
spitex-regionbirs.ch,https://www.spitex-regionbirs.ch/img/spitex2022/ch.spitex-region-birs/logo_de-hcE483C5A8.svg
